Date UTC, Time UTC, Reading
2015-07-30,00:55:13.1,111
2015-07-30,00:55:18.8,111
2015-07-30,00:55:24.5,111
2015-07-30,00:55:36.0,111
2015-07-30,00:55:41.7,111
2015-07-30,00:55:47.5,111
2015-07-30,00:55:53.2,111
2015-07-30,00:55:58.9,111
2015-07-30,00:57:42.1,111
2015-07-30,00:57:47.8,111
2015-07-30,00:57:53.5,111
2015-07-30,00:57:59.2,111
2015-07-30,00:58:05.0,111
2015-07-30,01:06:57.9,111
2015-07-30,01:07:03.6,111
2015-07-30,01:07:09.3,111
2015-07-30,01:07:15.0,111
2015-07-30,01:07:20.8,111
2015-07-30,01:07:26.5,111
2015-07-30,01:07:32.2,111
2015-07-30,01:07:38.0,111
2015-07-30,01:07:43.7,111
2015-07-30,01:07:49.4,111
2015-07-30,01:07:55.1,111
2015-07-30,01:08:00.9,111
2015-07-30,01:08:06.6,111
2015-07-30,01:08:12.3,111
2015-07-30,01:08:18.1,111
2015-07-30,01:08:23.8,111
2015-07-30,01:08:29.5,111
2015-07-30,01:08:35.3,111
2015-07-30,01:08:41.0,111
2015-07-30,01:08:46.7,111
2015-07-30,01:08:52.4,111
2015-07-30,01:08:58.2,111
2015-07-30,01:09:03.9,111
2015-07-30,01:09:09.6,111
2015-07-30,01:09:15.4,111
2015-07-30,01:09:21.1,111
2015-07-30,01:09:26.8,111
2015-07-30,01:09:32.6,111
2015-07-30,01:09:38.3,111
2015-07-30,01:09:44.0,111
2015-07-30,01:09:49.8,111
2015-07-30,01:09:55.5,111
2015-07-30,01:10:01.2,111
2015-07-30,01:10:06.9,111
2015-07-30,01:10:12.7,111
2015-07-30,01:10:18.4,111
2015-07-30,01:10:24.1,111
2015-07-30,01:10:29.9,111
2015-07-30,01:10:35.6,111
2015-07-30,01:10:41.3,111
2015-07-30,01:10:47.1,111
2015-07-30,01:10:52.8,111
2015-07-30,01:10:58.5,111
2015-07-30,01:11:04.2,111
2015-07-30,01:11:10.0,111
2015-07-30,01:11:15.7,111
2015-07-30,01:11:21.4,111
2015-07-30,01:11:27.2,111
2015-07-30,01:11:32.9,111
2015-07-30,01:11:38.6,111
2015-07-30,01:11:44.3,111
2015-07-30,01:11:50.1,111
2015-07-30,01:11:55.8,111
2015-07-30,01:12:01.5,111
2015-07-30,01:12:07.3,111
2015-07-30,01:12:13.0,111
2015-07-30,01:12:18.7,111
2015-07-30,01:12:24.5,111
2015-07-30,01:12:30.2,111
2015-07-30,01:12:35.9,111
2015-07-30,01:12:41.6,111
2015-07-30,01:12:47.4,111
2015-07-30,01:12:53.1,111
2015-07-30,01:12:58.8,111
2015-07-30,01:13:04.6,111
2015-07-30,01:13:10.3,111
2015-07-30,01:13:16.0,111
2015-07-30,01:13:21.8,111
2015-07-30,01:13:27.5,111
2015-07-30,01:13:33.2,111
2015-07-30,01:13:39.0,111
2015-07-30,01:13:44.7,111
2015-07-30,01:13:50.4,111
2015-07-30,01:13:56.1,111
2015-07-30,01:14:01.9,111
2015-07-30,01:14:07.6,111
2015-07-30,01:14:13.3,111
2015-07-30,01:14:19.1,111
2015-07-30,01:14:24.8,111
2015-07-30,01:14:30.5,111
2015-07-30,01:14:36.3,111
2015-07-30,01:14:42.0,111
2015-07-30,01:14:47.7,111
2015-07-30,01:14:53.4,111
2015-07-30,01:14:59.2,111
2015-07-30,01:15:04.9,111
2015-07-30,01:15:10.6,111
2015-07-30,01:15:16.4,111
2015-07-30,01:15:22.1,111
2015-07-30,01:15:27.8,111
2015-07-30,01:15:33.6,111
2015-07-30,01:15:39.3,111
2015-07-30,01:15:45.0,111
2015-07-30,01:15:50.7,111
2015-07-30,01:15:56.5,111
2015-07-30,01:16:02.2,111
2015-07-30,01:16:07.9,111
2015-07-30,01:16:13.7,111
2015-07-30,01:16:19.4,111
2015-07-30,01:16:25.1,111
2015-07-30,01:16:30.8,111
2015-07-30,01:16:36.6,111
2015-07-30,01:16:42.3,111
2015-07-30,01:16:48.0,111
2015-07-30,01:16:53.8,111
2015-07-30,01:16:59.5,111
2015-07-30,01:17:05.2,111
2015-07-30,01:17:11.0,111
2015-07-30,01:17:16.7,111
2015-07-30,01:17:22.4,111
2015-07-30,01:17:28.2,111
2015-07-30,01:17:33.9,111
2015-07-30,01:17:39.6,111
2015-07-30,01:17:45.3,111
2015-07-30,01:17:51.1,111
2015-07-30,01:17:56.8,111
2015-07-30,01:18:02.5,111
2015-07-30,01:18:08.3,111
2015-07-30,01:18:14.0,111
2015-07-30,01:18:19.7,111
2015-07-30,01:18:25.5,111
2015-07-30,01:18:31.2,111
2015-07-30,01:18:36.9,111
2015-07-30,01:18:42.6,111
2015-07-30,01:18:48.4,111
2015-07-30,01:18:54.1,111
2015-07-30,01:18:59.8,111
2015-07-30,01:19:05.6,111
2015-07-30,01:19:11.3,111
2015-07-30,01:19:17.0,111
2015-07-30,01:19:22.8,111
2015-07-30,01:19:28.5,111
2015-07-30,01:19:34.2,111
2015-07-30,01:19:40.0,111
2015-07-30,01:19:45.7,111
2015-07-30,01:19:51.4,111
2015-07-30,01:19:57.1,111
2015-07-30,01:20:02.9,111
2015-07-30,01:20:08.6,111
2015-07-30,01:20:14.3,111
2015-07-30,01:20:20.1,111
2015-07-30,01:20:25.8,111
2015-07-30,01:20:31.5,111
2015-07-30,01:20:37.3,111
2015-07-30,01:20:43.0,111
2015-07-30,01:20:48.7,111
2015-07-30,01:20:54.4,111
2015-07-30,01:21:00.2,111
2015-07-30,01:21:05.9,111
2015-07-30,01:21:11.6,111
2015-07-30,01:21:17.4,111
2015-07-30,01:21:23.1,111
2015-07-30,01:21:28.8,111
2015-07-30,01:21:34.5,111
2015-07-30,01:21:40.3,111
2015-07-30,01:21:46.0,111
2015-07-30,01:21:51.7,111
2015-07-30,01:42:12.3,111
2015-07-30,01:42:18.0,111
2015-07-30,01:42:23.7,111
2015-07-30,01:42:29.4,111
2015-07-30,01:44:06.9,111
2015-07-30,01:44:12.6,111
2015-07-30,01:44:18.3,111
2015-07-30,01:44:24.0,111
2015-07-30,01:44:29.8,111
2015-07-30,01:44:35.5,111
2015-07-30,01:44:41.2,111
2015-07-30,01:44:47.0,111
2015-07-30,01:44:52.7,111
2015-07-30,01:44:58.4,111
2015-07-30,01:45:04.1,111
2015-07-30,01:45:09.9,111
2015-07-30,01:45:15.6,111
2015-07-30,01:45:21.3,111
2015-07-30,01:45:27.1,111
2015-07-30,01:45:32.8,111
2015-07-30,01:45:38.5,111
2015-07-30,01:45:44.3,111
2015-07-30,01:45:50.0,111
2015-07-30,01:45:55.7,111
2015-07-30,01:46:07.2,111
2015-07-30,01:46:12.9,111
2015-07-30,01:46:18.6,111
2015-07-30,01:46:24.4,111
2015-07-30,01:46:30.1,111
2015-07-30,01:46:35.8,111
2015-07-30,01:46:41.6,111
2015-07-30,01:50:07.9,111
2015-07-30,01:50:59.4,111
2015-07-30,01:51:05.1,111
2015-07-30,01:51:10.9,111
2015-07-30,01:52:36.8,111
2015-07-30,01:52:42.5,111
2015-07-30,01:52:48.3,111
2015-07-30,01:52:54.0,111
2015-07-30,01:53:17.0,111
2015-07-30,01:53:22.6,111
2015-07-30,01:53:28.4,111
2015-07-30,01:53:34.1,111
2015-07-30,01:53:39.8,111
2015-07-30,01:53:45.6,111
2015-07-30,01:53:51.3,111
2015-07-30,01:53:57.0,111
2015-07-30,01:54:02.8,111
2015-07-30,01:54:08.5,111
2015-07-30,01:54:14.2,111
2015-07-30,01:56:20.3,111
2015-07-30,01:56:26.0,111
2015-07-30,01:56:31.7,111
2015-07-30,01:56:37.5,111
2015-07-30,01:56:43.2,111
2015-07-30,01:56:48.9,111
2015-07-30,01:56:54.7,111
2015-07-30,01:57:00.4,111
2015-07-30,01:57:06.1,111
2015-07-30,01:57:11.9,111
2015-07-30,01:57:17.6,111
2015-07-30,01:57:23.3,111
2015-07-30,01:57:29.0,111
2015-07-30,01:57:34.8,111
2015-07-30,01:57:40.5,111
2015-07-30,01:57:46.2,111
2015-07-30,01:57:52.0,111
2015-07-30,01:59:12.2,111
2015-07-30,01:59:17.9,111
2015-07-30,01:59:23.6,111
2015-07-30,01:59:46.6,111
2015-07-30,01:59:52.3,111
2015-07-30,01:59:58.0,111
2015-07-30,02:00:03.8,111
2015-07-30,02:00:15.2,111
2015-07-30,02:00:21.0,111
2015-07-30,02:00:26.7,111
2015-07-30,02:00:32.4,111
2015-07-30,02:00:38.1,111
2015-07-30,02:00:43.9,111
2015-07-30,02:00:49.6,111
2015-07-30,02:00:55.3,111
2015-07-30,02:01:01.1,111
2015-07-30,02:03:18.6,111
2015-07-30,02:03:24.3,111
2015-07-30,02:03:30.1,111
2015-07-30,02:03:35.8,111
2015-07-30,02:03:41.5,111
2015-07-30,02:03:47.2,111
2015-07-30,02:03:52.9,111
2015-07-30,02:03:58.7,111
2015-07-30,02:04:04.4,111
2015-07-30,02:04:10.1,111
2015-07-30,02:06:04.8,111
2015-07-30,02:06:10.5,111
2015-07-30,02:06:16.2,111
2015-07-30,02:06:21.9,111
2015-07-30,02:06:27.7,111
2015-07-30,02:07:53.6,111
2015-07-30,02:07:59.4,111
2015-07-30,02:08:05.1,111
2015-07-30,02:08:10.8,111
2015-07-30,02:08:16.6,111
2015-07-30,02:08:22.3,111
2015-07-30,02:08:28.0,111
2015-07-30,02:08:33.7,111
2015-07-30,02:08:39.5,111
2015-07-30,02:08:45.2,111
2015-07-30,02:08:50.9,111
2015-07-30,02:09:25.3,111
2015-07-30,02:09:31.0,111
2015-07-30,02:09:36.8,111
2015-07-30,02:09:42.5,111
2015-07-30,02:09:48.2,111
2015-07-30,02:09:54.0,111
2015-07-30,02:09:59.7,111
2015-07-30,02:10:05.4,111
2015-07-30,02:10:11.1,111
2015-07-30,02:10:16.9,111
2015-07-30,02:10:22.6,111
2015-07-30,02:10:28.3,111
2015-07-30,02:10:34.1,111
2015-07-30,02:10:39.8,111
2015-07-30,02:10:45.5,111
2015-07-30,02:14:46.2,111
2015-07-30,02:14:51.9,111
2015-07-30,02:14:57.6,111
2015-07-30,02:15:03.4,111
2015-07-30,02:15:09.1,111
2015-07-30,02:15:14.8,111
2015-07-30,02:15:20.6,111
2015-07-30,02:15:26.3,111
2015-07-30,02:15:32.0,111
2015-07-30,02:15:37.7,111
2015-07-30,02:15:43.5,111
2015-07-30,02:15:49.2,111
2015-07-30,02:19:32.7,111
2015-07-30,02:19:38.4,111
2015-07-30,02:19:44.1,111
2015-07-30,02:19:49.9,111
2015-07-30,02:19:55.6,111
2015-07-30,02:22:41.8,111
2015-07-30,02:22:47.5,111
2015-07-30,02:22:53.2,111
2015-07-30,02:22:58.9,111
2015-07-30,02:23:04.7,111
2015-07-30,02:23:10.4,111
2015-07-30,02:23:16.1,111
2015-07-30,02:23:21.9,111
2015-07-30,02:23:27.6,111
2015-07-30,02:23:33.3,111
2015-07-30,02:23:39.0,111
2015-07-30,02:23:44.8,111
2015-07-30,02:23:50.5,111
2015-07-30,02:23:56.2,111
2015-07-30,02:24:36.4,111
2015-07-30,02:32:43.4,111
2015-07-30,02:32:49.1,111
2015-07-30,02:32:54.8,111
2015-07-30,02:33:00.6,111
2015-07-30,02:33:06.3,111
2015-07-30,02:33:12.0,111
2015-07-30,02:33:17.8,111
2015-07-30,02:33:23.5,111
2015-07-30,02:33:29.2,111
2015-07-30,02:33:34.9,111
2015-07-30,02:33:40.7,111
2015-07-30,02:33:46.4,111
2015-07-30,02:33:52.1,111
2015-07-30,02:33:57.9,111
2015-07-30,02:34:03.6,111
2015-07-30,03:57:57.2,62
2015-07-30,03:58:13.3,64
2015-07-30,09:34:43.7,114
